GCODE,ESCROLL_CAT,GID,PENSION_TYPE,BRANCH_CODE,BRANCH_NAME,BRANCH_PIN,BRANCH_STATE,BIRTH_YEAR,SUBMITTED_STATUS,WAIVER_UPTO,SUBMISSION_MODE,VERIFICATION_TYPE,CERTIFICATE_SUBMISSION_DATE,PENSIONER_PINCODE,PENSIONER_DISTNAME,PENSIONER_STATENAME
STATE,STATE,ORISSA_11,F,04854,DEOGARH,768108,ODISHA,1961,SUBMITTED,,PLC,,19-05-2025,768109,Debagarh,ODISHA
STATE,STATE,ORISSA_7,F,00033,BERHAMPUR GANJAM,760001,ODISHA,1942,SUBMITTED,,PLC,,02-07-2025,760001,Ganjam,ODISHA
STATE,STATE,TRIPURA_1,F,04290,BISHALGARH,799264,TRIPURA,1989,SUBMITTED,,PLC,,31-07-2025,799130,West Tripura,TRIPURA
STATE,STATE,ASSAM_1,F,07998,SONARI,785590,ASSAM,1972,SUBMITTED,,PLC,,04-08-2025,785691,Sivasagar,ASSAM
CENTRAL,CPAO,CIVIL_2,F,10740,GARDHIWALA,144207,PUNJAB,1981,First_Year_Waiver,31-10-2025,,,,144207,Hoshiarpur,PUNJAB
CENTRAL,CPAO,CIVIL_2,F,06557,PRASANTNAGAR,500039,TELANGANA,1952,First_Year_Waiver,31-10-2025,,,,500039,RANGA REDDY,TELANGANA
STATE,STATE,ORISSA_7,F,07930,SME BRANCH KA LYANI NAGAR,753013,ODISHA,1944,SUBMITTED,,PLC,,17-07-2025,753013,Cuttack,ODISHA
CENTRAL,DEFENCE,DEFENCE_8,F,15289,DIPHUPAR,797112,NAGALAND,1991,First_Year_Waiver,31-10-2025,,,,797116,Dimapur,NAGALAND
CENTRAL,DEFENCE,DEFENCE_12,F,31237,COLLECTORATE CHITTORGARH,312001,RAJASTHAN,1954,SUBMITTED,,DLC,,15-12-2024,312001,Chittaurgarh,RAJASTHAN
STATE,STATE,KARNATAKA_29,F,00260,ACB HIREKERUR,581111,KARNATAKA,1980,SUBMITTED,,PLC,,30-07-2025,581111,Haveri,KARNATAKA
CENTRAL,CPAO,CIVIL_2,F,03190,DUNDAHERA(GURGAON),122016,HARYANA,1952,SUBMITTED,,PLC,,27-11-2024,122001,Gurgaon,HARYANA
CENTRAL,CPAO,CIVIL_2,F,06500,BHATRAUJKHAN,263646,UTTARAKHAND,1945,SUBMITTED,,PLC,,07-11-2024,263646,Nainital,UTTARAKHAND
STATE,STATE,ORISSA_7,F,00154,PHULBANI,762001,ODISHA,1948,SUBMITTED,,PLC,,18-07-2025,762029,Kandhamal,ODISHA
CENTRAL,CPAO,CIVIL_2,F,08598,RESIDENCY ROAD BENGALURU,560025,KARNATAKA,1946,SUBMITTED,,PLC,,07-11-2024,560016,Bangalore,KARNATAKA
CENTRAL,POSTAL,POSTAL_27,F,07945,INDIRA GANDHI INST OF MEDICAL SCIENCE,800014,BIHAR,1980,First_Year_Waiver,31-10-2025,,,,803213,Patna,BIHAR
STATE,STATE,KARNATAKA_29,F,00833,DHARWAD,580001,KARNATAKA,1982,SUBMITTED,,PLC,,21-07-2025,580004,Dharwad,KARNATAKA
STATE,STATE,ASSAM_1,F,12972,SOOTEA,784175,ASSAM,1983,SUBMITTED,,PLC,,31-07-2025,784175,Sonitpur,ASSAM
STATE,STATE,KARNATAKA_29,F,20717,OLD HOSPITAL KALABURAGI,585101,KARNATAKA,1982,SUBMITTED,,PLC,,23-07-2025,585105,Gulbarga,KARNATAKA
STATE,STATE,ASSAM_1,F,07368,MORAN,785670,ASSAM,1973,SUBMITTED,,PLC,,06-08-2025,785670,Sivasagar,ASSAM
CENTRAL,RAILWAY,RAILWAY_3,F,05753,BHAPUR BAZAR BERHAMPORE,760001,ODISHA,1971,First_Year_Waiver,31-10-2025,,,,761001,Ganjam,ODISHA
CENTRAL,CPAO,CIVIL_2,F,51182,GURDASPUR (BATALA ROAD),143521,PUNJAB,1982,First_Year_Waiver,31-10-2025,,,,143521,Gurdaspur,PUNJAB
STATE,STATE,ORISSA_7,F,00158,PURI,752001,ODISHA,1958,SUBMITTED,,PLC,,11-06-2025,752011,Puri,ODISHA
STATE,STATE,MADHYA_PRADESH_1,F,30015,P.Y.ROAD INDORE,452004,MADHYA PRADESH,1968,SUBMITTED,,PLC,,19-08-2025,452006,Indore,MADHYA PRADESH
STATE,STATE,CHATTISGARH_1,F,00310,AMBIKAPUR,497001,CHATTISGARH,1987,SUBMITTED,,PLC,,04-08-2025,,,
STATE AUTONOMOUS BODIES,AUTONOMOUS,MPUAD_1,F,12290,PBB CHHINDWARA,480001,MADHYA PRADESH,1964,SUBMITTED,,PLC,,11-06-2025,480109,Chhindwara,MADHYA PRADESH
CENTRAL,RAILWAY,RAILWAY_12,F,16618,SINGH MORE RANCHI,834003,JHARKHAND,1982,First_Year_Waiver,31-10-2025,,,,834003,Ranchi,JHARKHAND
STATE,STATE,PUNJAB_1,F,50389,BHOGIWAL,148019,PUNJAB,2004,SUBMITTED,,PLC,,05-07-2025,141119,Sangrur,PUNJAB
STATE,STATE,ASSAM_1,F,17221,SIPAJHAR,784145,ASSAM,1977,SUBMITTED,,PLC,,30-07-2025,784145,Darrang,ASSAM
STATE,STATE,NAGALAND_1,F,03598,DIMAPUR BAZAAR,797112,NAGALAND,1967,SUBMITTED,,PLC,,01-08-2025,797112,Dimapur,NAGALAND
STATE,STATE,ORISSA_7,F,06475,GALLERY,761141,ODISHA,1950,SUBMITTED,,PLC,,11-02-2025,761141,Ganjam,ODISHA
STATE,STATE,ORISSA_11,F,09841,GARHPALASUNI,759120,ODISHA,1948,SUBMITTED,,PLC,,26-11-2024,759120,Dhenkanal,ODISHA
CENTRAL,CPAO,CIVIL_39,F,02929,COLGONG,813203,BIHAR,1994,First_Year_Waiver,31-10-2025,,,,813222,Bhagalpur,BIHAR
CENTRAL,CPAO,CIVIL_2,F,31854,JAIPUR NEW AATISH MARKET,302020,RAJASTHAN,1971,First_Year_Waiver,31-10-2025,,,,302004,Jaipur,RAJASTHAN
STATE,STATE,ORISSA_7,F,00007,ANGUL,759122,ODISHA,1947,SUBMITTED,,PLC,,18-07-2025,759122,Anugul,ODISHA
STATE,STATE,JHARKHAND_1,F,17470,RAMNAGAR HAZARIBAGH,825301,JHARKHAND,1968,SUBMITTED,,PLC,,17-07-2025,825322,Giridih,JHARKHAND
CENTRAL,CPAO,CIVIL_39,F,03512,BHIND,477001,MADHYA PRADESH,1998,First_Year_Waiver,31-10-2025,,,,477001,Bhind,MADHYA PRADESH
STATE,STATE,TRIPURA_1,F,04544,ARUNDHUTI NAGAR,799003,TRIPURA,1975,SUBMITTED,,PLC,,31-07-2025,799003,West Tripura,TRIPURA
CENTRAL AUTONOMOUS BODIES,AUTONOMOUS,ICAR_17,F,21034,POWER GRID CAMPUS NAGPUR,440026,MAHARASHTRA,1956,SUBMITTED,,PLC,,28-05-2025,500030,RANGA REDDY,TELANGANA
STATE AUTONOMOUS BODIES,AUTONOMOUS,UTKAL_1,F,02135,UTKAL UNIV CAMPUS BHUBANESWAR,751004,ODISHA,1970,SUBMITTED,,PLC,,04-11-2024,751004,Khordha,ODISHA
STATE,STATE,ASSAM_1,F,07388,BISHNUPUR,783390,ASSAM,1971,SUBMITTED,,PLC,,05-08-2025,783390,Chirang,ASSAM
STATE,STATE,KARNATAKA_6,F,16410,ALAND ROAD KALABURAGI,585101,KARNATAKA,1979,SUBMITTED,,PLC,,13-03-2025,585101,Gulbarga,KARNATAKA
STATE,STATE,CHATTISGARH_1,F,00370,DURG MAIN BRANCH,491001,CHATTISGARH,1950,SUBMITTED,,PLC,,24-02-2025,,,
STATE,STATE,ORISSA_11,F,06081,JALESWAR,756032,ODISHA,1953,SUBMITTED,,PLC,,20-01-2025,756032,Baleshwar,ODISHA
STATE,STATE,CHATTISGARH_1,F,00320,BALOD,491226,CHATTISGARH,1970,SUBMITTED,,PLC,,25-02-2025,494001,Bastar,CHHATTISGARH
STATE,STATE,JHARKHAND_1,F,08139,NATUNDI,828134,JHARKHAND,2000,SUBMITTED,,PLC,,11-04-2025,828134,Bokaro,JHARKHAND
STATE,STATE,KARNATAKA_29,F,15454,INDUSTRIAL ESTATE KAKATI,591113,KARNATAKA,1953,SUBMITTED,,PLC,,24-03-2025,591113,Belgaum,KARNATAKA
STATE,STATE,ORISSA_7,F,05564,SHYAMAKHUNTA,757049,ODISHA,1939,SUBMITTED,,PLC,,07-04-2025,757049,Mayurbhanj,ODISHA
STATE,STATE,CHATTISGARH_1,F,08119,COLLECTORATE JAGDALPUR,494001,CHATTISGARH,1962,SUBMITTED,,PLC,,26-11-2024,494001,Bastar,CHHATTISGARH
CENTRAL,DEFENCE,DEFENCE_8,F,11625,SBI DEMOW,785662,ASSAM,1960,First_Year_Waiver,31-10-2025,,,,785662,Sivasagar,ASSAM
CENTRAL,DEFENCE,DEFENCE_8,F,11625,SBI DEMOW,785662,ASSAM,1960,First_Year_Waiver,31-10-2025,,,,785662,Sivasagar,ASSAM
CENTRAL,CPAO,CIVIL_2,F,02998,RAXAUL,845305,BIHAR,1940,SUBMITTED,,PLC,,10-12-2024,845305,Purba Champaran,BIHAR
CENTRAL AUTONOMOUS BODIES,AUTONOMOUS,DVC_2,F,00045,BOKARO THERMAL,829107,JHARKHAND,1966,First_Year_Waiver,31-10-2025,,,,829107,Bokaro,JHARKHAND
CENTRAL,RAILWAY,RAILWAY_1,F,30425,WARDHMAN NAGAR NAGPUR,440018,MAHARASHTRA,1958,First_Year_Waiver,31-10-2025,,,,440008,Nagpur,MAHARASHTRA
STATE,STATE,ORISSA_7,F,00041,BHUBANESWAR MAIN,751009,ODISHA,1951,SUBMITTED,,PLC,,18-06-2025,752102,Khordha,ODISHA
STATE,STATE,CHATTISGARH_1,F,01331,RAMANUJGANJ,497220,CHATTISGARH,1965,SUBMITTED,,PLC,,07-07-2025,497220,Surguja,CHHATTISGARH
STATE,STATE,MEGHALAYA_1,F,02126,SORBHOG,781317,ASSAM,1958,SUBMITTED,,PLC,,04-04-2025,781317,Barpeta,ASSAM
STATE,STATE,PUNJAB_8,F,00689,NAYA NANGAL,140126,PUNJAB,1967,SUBMITTED,,PLC,,27-02-2025,140126,Rupnagar,PUNJAB
STATE,STATE,CHATTISGARH_1,F,00464,RAJNANDGAON,491441,CHATTISGARH,1971,SUBMITTED,,PLC,,24-04-2025,491441,Rajnandgaon,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,17657,COLLECTORATE MUNGELI,495334,CHATTISGARH,1998,SUBMITTED,,PLC,,24-04-2025,495334,Bilaspur,CHHATTISGARH
CENTRAL AUTONOMOUS BODIES,AUTONOMOUS,DVC_2,F,05680,TOLLYGUNGE NEW THEATRES STUDIO,700040,WEST BENGAL,1964,First_Year_Waiver,31-10-2025,,,,700070,South Twenty Four Parganas,WEST BENGAL
STATE,STATE,CHATTISGARH_1,F,00296,BEMETARA,491335,CHATTISGARH,1958,SUBMITTED,,PLC,,08-11-2024,491335,Durg,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,07241,BARAMKELA,496551,CHATTISGARH,3001,SUBMITTED,,PLC,,20-11-2024,496551,Raigarh,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,00296,BEMETARA,491335,CHATTISGARH,1950,SUBMITTED,,PLC,,06-11-2024,491335,Durg,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,07237,NEW SHANTINAGAR,492007,CHATTISGARH,1943,SUBMITTED,,PLC,,07-11-2024,492007,Raipur,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,03758,DONDILOHARA,491771,CHATTISGARH,1962,SUBMITTED,,PLC,,28-11-2024,491771,Durg,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,03850,SAHASPUR-LOHARA,491995,CHATTISGARH,1961,SUBMITTED,,PLC,,11-11-2024,491995,Kabeerdham,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,03850,SAHASPUR-LOHARA,491995,CHATTISGARH,1961,SUBMITTED,,PLC,,11-11-2024,491995,Kabeerdham,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,06899,PALI,495445,CHATTISGARH,1959,SUBMITTED,,PLC,,20-03-2025,495449,Korba,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,12272,SIDHI CITY,486661,MADHYA PRADESH,1961,SUBMITTED,,PLC,,11-12-2024,486661,Sidhi,MADHYA PRADESH
STATE,STATE,CHATTISGARH_1,F,02879,NAWAPARA RAJIM,493881,CHATTISGARH,1960,SUBMITTED,,PLC,,22-11-2024,493887,Raipur,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,02879,NAWAPARA RAJIM,493881,CHATTISGARH,1960,SUBMITTED,,PLC,,22-11-2024,493887,Raipur,CHHATTISGARH
CENTRAL,RAILWAY,RAILWAY_13,F,10363,SARJAPURA ROAD,560102,KARNATAKA,1969,SUBMITTED,,PLC,,22-07-2025,732102,Maldah,WEST BENGAL
CENTRAL,DEFENCE,DEFENCE_8,F,01312,TIRUCHIRAPALLI TOWN,620008,TAMIL NADU,1967,First_Year_Waiver,31-10-2025,,,,621112,Tiruchirappalli,TAMIL NADU
STATE,STATE,ASSAM_1,F,07575,BORPOOL,785002,ASSAM,1966,SUBMITTED,,PLC,,23-05-2025,785108,Jorhat,ASSAM
CENTRAL,CPAO,CIVIL_2,F,00648,HAPUR MAIN BRANCH,245101,UTTAR PRADESH,1981,First_Year_Waiver,31-10-2025,,,,245101,Ghaziabad,UTTAR PRADESH
STATE,STATE,ORISSA_7,F,00143,NAYAGARH,752069,ODISHA,1952,SUBMITTED,,PLC,,03-06-2025,752070,Nayagarh,ODISHA
STATE,STATE,TRIPURA_1,F,09130,AMTALI SAB,799130,TRIPURA,1977,SUBMITTED,,PLC,,23-06-2025,799130,West Tripura,TRIPURA
STATE,STATE,TRIPURA_1,F,05559,TLA HOUSE AGARTALA,799001,TRIPURA,1962,SUBMITTED,,PLC,,26-02-2025,799008,West Tripura,TRIPURA
STATE,STATE,TRIPURA_1,F,05559,TLA HOUSE AGARTALA,799001,TRIPURA,1962,SUBMITTED,,PLC,,26-02-2025,799008,West Tripura,TRIPURA
STATE,STATE,JHARKHAND_1,F,09610,TAPEZ,825401,JHARKHAND,1973,SUBMITTED,,PLC,,14-02-2025,825401,Chatra,JHARKHAND
STATE,STATE,ASSAM_1,F,09193,BAMUNPUKHURI,785683,ASSAM,1971,SUBMITTED,,PLC,,18-03-2025,785683,Jorhat,ASSAM
STATE AUTONOMOUS BODIES,AUTONOMOUS,UTKAL_1,F,05159,CHARAMPA,756101,ODISHA,1958,SUBMITTED,,PLC,,18-03-2025,756101,Bhadrak,ODISHA
CENTRAL AUTONOMOUS BODIES,AUTONOMOUS,DVC_2,F,12401,SHYAMPUR,713201,WEST BENGAL,1956,First_Year_Waiver,31-10-2025,,,,713201,Barddhaman,WEST BENGAL
STATE,STATE,CHATTISGARH_1,F,00406,KAWARDHA,491995,CHATTISGARH,1953,SUBMITTED,,PLC,,08-11-2024,491995,Kabeerdham,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,08119,COLLECTORATE JAGDALPUR,494001,CHATTISGARH,1977,SUBMITTED,,PLC,,27-11-2024,494001,Bastar,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,02852,NIT BRANCH,492008,CHATTISGARH,1961,SUBMITTED,,PLC,,05-11-2024,492010,Raipur,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,02862,KESHKAL,494331,CHATTISGARH,1960,SUBMITTED,,PLC,,06-11-2024,494331,Bastar,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,00320,BALOD,491226,CHATTISGARH,1960,SUBMITTED,,PLC,,08-11-2024,491226,Durg,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,00401,KANKER,494334,CHATTISGARH,3001,SUBMITTED,,PLC,,05-11-2024,494334,Uttar Bastar Kanker,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,03756,PHARASGAON,494228,CHATTISGARH,3001,SUBMITTED,,DLC,,05-11-2024,246428,Chamoli,UTTARAKHAND
STATE,STATE,CHATTISGARH_1,F,00370,DURG MAIN BRANCH,491001,CHATTISGARH,1958,SUBMITTED,,PLC,,19-11-2024,491001,Durg,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,00464,RAJNANDGAON,491441,CHATTISGARH,1958,SUBMITTED,,DLC,,26-11-2024,491441,Rajnandgaon,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,00370,DURG MAIN BRANCH,491001,CHATTISGARH,1958,SUBMITTED,,PLC,,28-11-2024,491001,Durg,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,06047,I.T.I.COLONY(RAMPUR),495677,CHATTISGARH,1961,SUBMITTED,,PLC,,05-11-2024,495677,Korba,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,06047,I.T.I.COLONY(RAMPUR),495677,CHATTISGARH,1961,SUBMITTED,,PLC,,05-11-2024,495677,Korba,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,00401,KANKER,494334,CHATTISGARH,1962,SUBMITTED,,PLC,,18-11-2024,494336,Uttar Bastar Kanker,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,02894,SUKMA,494111,CHATTISGARH,3001,PENDING,,,,,494111,Dakshin Bastar Dantewada,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,04571,COLLECTORATE (BILASPUR),495001,CHATTISGARH,1949,SUBMITTED,,PLC,,14-11-2024,495001,Bilaspur,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,01265,KONDAGAON,494226,CHATTISGARH,1959,SUBMITTED,,PLC,,05-11-2024,494226,Bastar,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,05792,JANAKPUR,497778,CHATTISGARH,1940,SUBMITTED,,PLC,,03-12-2024,497778,Koriya,CHHATTISGARH
CENTRAL,CPAO,CIVIL_39,F,01059,KERAKAT,222142,UTTAR PRADESH,1992,First_Year_Waiver,31-10-2025,,,,222181,Jaunpur,UTTAR PRADESH
STATE,STATE,ASSAM_1,F,08286,KISMATHASDAH,783334,ASSAM,1978,SUBMITTED,,PLC,,21-02-2025,783330,Dhubri,ASSAM
CENTRAL AUTONOMOUS BODIES,AUTONOMOUS,DVC_2,F,02925,CHANDRAPURA,828403,JHARKHAND,1955,First_Year_Waiver,31-10-2025,,,,828403,Bokaro,JHARKHAND
CENTRAL AUTONOMOUS BODIES,AUTONOMOUS,PRFC_2,F,41108,DIMHANS DHARWAD,580008,KARNATAKA,1992,SUBMITTED,,PLC,,19-02-2025,580001,Dharwad,KARNATAKA
CENTRAL AUTONOMOUS BODIES,AUTONOMOUS,CMPFO_EMP_1,F,00066,DHANBAD,826001,JHARKHAND,1943,SUBMITTED,,PLC,,09-12-2024,,,
STATE AUTONOMOUS BODIES,AUTONOMOUS,MPUSAA_1,F,30137,KAMPOO GWALIOR,474001,MADHYA PRADESH,1952,SUBMITTED,,PLC,,18-02-2025,474001,Gwalior,MADHYA PRADESH
STATE,STATE,ARUNACHAL_PRADESH_1,F,10764,GANGA,791113,ARUNACHAL PRADESH,1977,SUBMITTED,,PLC,,25-04-2025,791113,Papum Pare,ARUNACHAL PRADESH
CENTRAL,RAILWAY,RAILWAY_14,F,18393,ARCOT ROAD PORUR,600116,TAMIL NADU,1976,First_Year_Waiver,31-10-2025,,,,600116,Chennai,TAMIL NADU
CENTRAL,RAILWAY,RAILWAY_8,F,31312,BIKANER JASSUSAR GATE,334001,RAJASTHAN,1969,First_Year_Waiver,31-10-2025,,,,334004,Bikaner,RAJASTHAN
STATE,STATE,CHATTISGARH_1,F,00464,RAJNANDGAON,491441,CHATTISGARH,1955,SUBMITTED,,PLC,,30-11-2024,492001,Raipur,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,09517,MALVIYA NAGAR DURG,491001,CHATTISGARH,1960,SUBMITTED,,PLC,,25-11-2024,491001,Durg,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,09517,MALVIYA NAGAR DURG,491001,CHATTISGARH,1960,SUBMITTED,,PLC,,25-11-2024,491001,Durg,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,03512,BHIND,477001,MADHYA PRADESH,3001,SUBMITTED,,DLC,,14-11-2024,477001,Bhind,MADHYA PRADESH
STATE,STATE,CHATTISGARH_1,F,00370,DURG MAIN BRANCH,491001,CHATTISGARH,1952,SUBMITTED,,PLC,,12-11-2024,491001,Durg,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,00370,DURG MAIN BRANCH,491001,CHATTISGARH,1952,SUBMITTED,,PLC,,12-11-2024,491001,Durg,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,06995,MARODA UTAI BHILAI,490006,CHATTISGARH,1950,SUBMITTED,,PLC,,11-11-2024,490006,Durg,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,06995,MARODA UTAI BHILAI,490006,CHATTISGARH,1950,SUBMITTED,,PLC,,11-11-2024,490006,Durg,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,02832,BHANUPRATAPPUR,494669,CHATTISGARH,1959,SUBMITTED,,PLC,,06-11-2024,494334,Uttar Bastar Kanker,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,02846,DONGARGAON,491661,CHATTISGARH,1963,SUBMITTED,,PLC,,16-12-2024,491668,Rajnandgaon,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,06262,COLLECTORATE BRANCH AMBIKAPUR,497001,CHATTISGARH,1950,SUBMITTED,,PLC,,07-11-2024,497001,Surguja,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,14206,SAJA,491993,CHATTISGARH,1945,SUBMITTED,,PLC,,12-11-2024,491993,Durg,CHHATTISGARH
STATE,STATE,PUNJAB_1,F,01681,ATTARI,143108,PUNJAB,1977,SUBMITTED,,PLC,,29-04-2025,143108,Amritsar,PUNJAB
CENTRAL,RAILWAY,RAILWAY_4,F,08045,KUSUMBA,731224,WEST BENGAL,1987,First_Year_Waiver,31-10-2025,,,,731224,Birbhum,WEST BENGAL
CENTRAL,CPAO,CIVIL_2,F,00082,GOALPARA,783101,ASSAM,1985,First_Year_Waiver,31-10-2025,,,,783124,Goalpara,ASSAM
CENTRAL,DEFENCE,DEFENCE_12,F,05598,SME CMPDI RANCHI,834008,JHARKHAND,1951,First_Year_Waiver,31-10-2025,,,,834006,Ranchi,JHARKHAND
STATE,STATE,KARNATAKA_29,F,17793,DEVINAGAR BALLARI,583103,KARNATAKA,1983,SUBMITTED,,PLC,,27-01-2025,583101,Bellary,KARNATAKA
CENTRAL AUTONOMOUS BODIES,AUTONOMOUS,DVC_2,F,01223,HAZARIBAGH BAZAR,825301,JHARKHAND,1943,First_Year_Waiver,31-10-2025,,,,825402,Hazaribagh,JHARKHAND
STATE,STATE,ORISSA_7,F,00046,BOLANGIR,767001,ODISHA,1950,SUBMITTED,,PLC,,04-03-2025,767029,Balangir,ODISHA
CENTRAL,CPAO,CIVIL_2,F,11529,MUKUNDAPUR,700099,WEST BENGAL,1952,First_Year_Waiver,31-10-2025,,,,700099,Kolkata,WEST BENGAL
STATE,STATE,BIHAR_1,F,06671,MOHAMMADPUR,841223,BIHAR,1952,SUBMITTED,,PLC,,10-12-2024,841208,Saran,BIHAR
CENTRAL,RAILWAY,RAILWAY_9,F,01274,JANGPURA,110014,NCT OF DELHI,1973,First_Year_Waiver,31-10-2025,,,,110013,South,NCT OF DELHI
CENTRAL,CPAO,CIVIL_2,F,05815,SOMASILA PROJECT AREA,524301,ANDHRA PRADESH,1987,First_Year_Waiver,31-10-2025,,,,524302,Sri Potti Sriramulu Nellore,ANDHRA PRADESH
STATE,STATE,CHATTISGARH_1,F,03740,PAMGARH,495554,CHATTISGARH,1969,SUBMITTED,,DLC,,27-11-2024,495554,Janjgir - Champa,CHHATTISGARH
STATE,STATE,TAMIL_NADU_1,F,18622,PALLOOR,673310,PUDUCHERRY,1950,SUBMITTED,,PLC,,29-05-2025,670672,Kannur,KERALA
CENTRAL,RAILWAY,RAILWAY_9,F,11214,A P SEN ROAD LUCKNOW,226001,UTTAR PRADESH,1977,First_Year_Waiver,31-10-2025,,,,226005,Lucknow,UTTAR PRADESH
CENTRAL,CPAO,CIVIL_2,F,02617,SIRSAGANJ,205151,UTTAR PRADESH,1980,SUBMITTED,,PLC,,20-11-2024,283151,Firozabad,UTTAR PRADESH
STATE,STATE,PUNJAB_1,F,08297,HARIPURA AMRITSAR,143001,PUNJAB,1974,SUBMITTED,,PLC,,05-12-2024,143001,Amritsar,PUNJAB
CENTRAL AUTONOMOUS BODIES,AUTONOMOUS,NIHFW_1,F,01624,NIHFW,110067,NCT OF DELHI,1966,SUBMITTED,,PLC,,12-11-2024,110025,South,NCT OF DELHI
CENTRAL AUTONOMOUS BODIES,AUTONOMOUS,NIHFW_1,F,01624,NIHFW,110067,NCT OF DELHI,1956,SUBMITTED,,PLC,,11-12-2024,,,
CENTRAL AUTONOMOUS BODIES,AUTONOMOUS,NIHFW_1,F,01624,NIHFW,110067,NCT OF DELHI,1950,SUBMITTED,,PLC,,13-11-2024,,,
CENTRAL,DEFENCE,DEFENCE_8,F,00256,CHIKODI,591201,KARNATAKA,1947,SUBMITTED,,PLC,,12-11-2024,591247,Belgaum,KARNATAKA
CENTRAL,RAILWAY,RAILWAY_10,F,21345,PHIRANGIPURAM,522529,ANDHRA PRADESH,1971,SUBMITTED,,DLC,,03-01-2025,522529,Guntur,ANDHRA PRADESH
CENTRAL,RAILWAY,RAILWAY_10,F,20713,S.C.RAILWAY VIJAYAWADA,520001,ANDHRA PRADESH,1987,SUBMITTED,,PLC,,11-11-2024,520003,Krishna,ANDHRA PRADESH
CENTRAL,CPAO,CIVIL_2,F,17073,SOGAM,193223,JAMMU AND KASHMIR,1988,SUBMITTED,,PLC,,01-03-2025,193223,Kupwara,JAMMU & KASHMIR
UNION TERRITORY,CPAO,CHANDIGARH_1,F,50117,SEC-22D CHANDIGARH,160022,CHANDIGARH,1967,SUBMITTED,,PLC,,25-03-2025,160102,Chandigarh,CHANDIGARH
CENTRAL,CPAO,CIVIL_39,F,16421,MAMUN,145001,PUNJAB,1993,SUBMITTED,,PLC,,07-11-2024,145001,Gurdaspur,PUNJAB
CENTRAL,RAILWAY,RAILWAY_12,F,02999,REHLA,822124,JHARKHAND,1953,First_Year_Waiver,31-10-2025,,,,822124,Palamu,JHARKHAND
STATE,STATE,BIHAR_1,F,01521,BHAGALPUR CITY,812002,BIHAR,1941,SUBMITTED,,DLC,,05-11-2024,812001,Bhagalpur,BIHAR
CENTRAL,RAILWAY,RAILWAY_3,F,03255,DONDAPARTHI VISAKHAPATNAM,530016,ANDHRA PRADESH,1981,SUBMITTED,,PLC,,30-12-2024,530008,Visakhapatnam,ANDHRA PRADESH
STATE,STATE,ASSAM_1,F,07389,SBI LUKI,781135,ASSAM,1979,SUBMITTED,,PLC,,08-11-2024,781135,Kamrup,ASSAM
STATE,STATE,ASSAM_1,F,02095,NAZIRA TOWN,785685,ASSAM,1986,SUBMITTED,,PLC,,11-11-2024,785673,Sivasagar,ASSAM
CENTRAL,DEFENCE,DEFENCE_8,F,11855,PURKHOO,181206,JAMMU AND KASHMIR,1973,SUBMITTED,,PLC,,25-11-2024,181206,Jammu,JAMMU & KASHMIR
STATE,STATE,PUNJAB_1,F,03629,NEW COURTS(LUDHIANA),141001,PUNJAB,1970,SUBMITTED,,PLC,,03-12-2024,141205,Ludhiana,PUNJAB
CENTRAL,RAILWAY,RAILWAY_15,F,03712,LIDHORA,472331,MADHYA PRADESH,2008,SUBMITTED,,PLC,,21-03-2025,472331,Tikamgarh,MADHYA PRADESH
